uuid,waktu_transaksi,armada_id_var,no_body_var,card_number_var,card_type_var,balance_before_int,fare_int,balance_after_int,transcode_txt,gate_in_boo,p_latitude_flo,p_longitude_flo,status_var,free_service_boo,insert_on_dtm
40ffc2dc-933c-4e21-ab20-3935e33deac0,2025-07-30 02:18:36,B 4738 SEL,KLG4590,0326553144400708,BRIZZI,54000,35000,19000,TX000001,True,-6.192277555133013,106.77872326586498,S,False,2025-07-30 02:20:17
cc03bbdf-e9da-457d-874a-a4ab944081e2,2025-07-26 08:52:57,B 5429 PKC,LGS4315-,9673319555070388,E-Money,86000,35000,51000,TX000002,True,-6.240311816206989,106.78183129662058,S,False,2025-07-26 08:54:06
d146c50b-d3ed-4029-b0fe-ee072736b4fb,2025-07-15 07:06:30,B 2169 GFP,KLG1916A,8705513299172500,BRIZZI,74000,35000,39000,TX000003,False,-6.189989010085625,106.76290565959557,S,False,2025-07-15 07:06:35
6972e293-1c2f-424d-b6e0-e1a65420bd5a,2025-07-14 22:47:38,B 6727 BTH,KLG6647,5737754300732352,JakCard,47500,3500,44000,TX000004,False,-6.152840633211696,106.75824472784414,S,False,2025-07-14 22:48:36
220d052f-bce3-4969-b076-e38820921cb8,2025-07-07 11:20:32,B 7517 GGE,NBR7583,9731046849153976,Flazz,98500,3500,95000,TX000005,True,-6.16001243736132,106.81396587906576,S,False,2025-07-07 11:21:09
44e7f0d5-2993-405e-8f03-435877680dd7,2025-07-07 17:40:47,B 8292 ZLI,LGS8804_,4596368993573836,E-Money,59000,2000,57000,TX000006,False,-6.174337002610155,106.76885410466618,S,False,2025-07-07 17:41:38
3c094de0-6317-447d-a0af-e3f324d29aae,2025-07-20 17:25:57,B 3058 YEL,KLG5036_B,6879872524144176,E-Money,80000,35000,45000,TX000007,False,-6.1739951975430145,106.8380061764875,S,False,2025-07-20 17:26:46
f67dade1-78ca-46b5-b6b2-0bbd5f33b12d,2025-07-07 06:28:02,B 2775 FGK,NBR486,6248628967775824,Flazz,18000,0,18000,TX000008,False,-6.197481893457054,106.76495166047339,S,True,2025-07-07 06:29:53
a1851fae-06f5-4a9a-8a70-85e52a1aa4ed,2025-07-12 00:14:46,B 7077 NIB,LGS5315,6305072342723528,E-Money,14000,2000,12000,TX000009,False,-6.189052879946875,106.84278213067549,S,False,2025-07-12 00:16:38
a82421ca-0adb-4aab-b8f9-f76ff0c5a70e,2025-07-17 03:09:28,B 9171 WGA,PTK6414_A,7889444916974160,JakCard,7000,2000,5000,TX000010,False,-6.187203711290256,106.78516893007445,S,False,2025-07-17 03:09:35
eacc93dd-80d4-4019-aa6b-5bd357c4781d,2025-07-31 14:21:15,B 6977 CEX,NBR498,4485814278056695,JakCard,68000,0,68000,TX000011,True,-6.1680465562066695,106.7779133025421,S,True,2025-07-31 14:22:00
c96ce8dc-ff3a-4104-85b2-367539489fd1,2025-07-17 13:10:10,B 3279 DGN,PTK1485B,1977678559631372,BRIZZI,45500,3500,42000,TX000012,False,-6.178915943683283,106.80758936398905,S,False,2025-07-17 13:10:34
a517111b-1897-49bb-a393-b9f694fda50a,2025-07-18 14:09:05,B 6616 IMW,BRT7627,5762179705795566,JakCard,81000,35000,46000,TX000013,True,-6.20400479238202,106.80594564535882,S,False,2025-07-18 14:09:38
dbd0eba7-e363-49e5-aadd-1b7c4e03b7c9,2025-07-01 14:22:35,B 4242 BSQ,LGS3090-,0636793090069715,BRIZZI,36000,20000,16000,TX000014,True,-6.241574851027779,106.75290918254554,S,False,2025-07-01 14:23:20
cc02a4e1-7d6a-4278-89e7-8749b65c7cdf,2025-07-01 00:19:00,B 7537 WHP,NBR5024-B,9710471055905501,JakCard,54000,0,54000,TX000015,True,-6.18091050032264,106.75928252772067,S,True,2025-07-01 00:19:37
63312ddf-0126-4890-bc75-b6f890844c08,2025-07-11 18:59:11,B 3236 BFQ,TWS1359,1332123086352509,Flazz,20000,2000,18000,TX000016,True,-6.234056671504763,106.7814438106456,S,False,2025-07-11 19:00:12
d0ea44e9-5663-4eaa-805c-2879e534b027,2025-07-22 00:17:06,B 8260 DOI,KLG4738_,4257241899162244,BRIZZI,97000,20000,77000,TX000017,False,-6.15717758132732,106.8144221025492,S,False,2025-07-22 00:17:58
f880cf9f-077f-4803-ad8e-f307d43f5407,2025-07-13 10:51:51,B 7551 FZB,NBR4519_A,2618901279213498,E-Money,38000,35000,3000,TX000018,True,-6.1600226688248725,106.75664393584862,F,False,2025-07-13 10:53:01
563a3297-cd99-4752-bdd2-974dd0dd1803,2025-07-18 11:54:14,B 7952 RWV,PTK7166,8988120837041902,Flazz,83000,20000,63000,TX000019,False,-6.202039256223657,106.82802320260967,S,False,2025-07-18 11:54:50
ebebac03-c382-4a81-85fc-a85245325b5e,2025-07-04 13:13:01,B 8490 QZI,TWS9978_,8366995504318898,E-Money,63500,3500,60000,TX000020,False,-6.194709405613721,106.84933027949191,S,False,2025-07-04 13:13:16
db82872d-11f0-4e5e-8b90-2ed66dd836f5,2025-07-26 18:34:54,B 9108 BOE,KLG1698_B,8563988071661092,BRIZZI,30000,20000,10000,TX000021,False,-6.230656832396642,106.79264715660412,S,False,2025-07-26 18:35:11
439ab13b-1f53-4099-8302-b2e2d509052d,2025-07-20 02:39:26,B 1115 LZS,PTK7861A,5767615243018967,E-Money,9500,3500,6000,TX000022,True,-6.2123235939257855,106.8388213859206,S,False,2025-07-20 02:40:26
